time,x,y,z
4.418,-0.268133,-0.919312,10.2273
4.43298,0.229828,0.0383047,10.304
4.44299,0.0383047,-0.995922,9.806
4.45398,-1.30236,-0.65118,8.54194
4.465,-0.995922,-0.57457,8.23551
4.591,-1.99184,-1.49388,8.35042
4.60199,-2.03015,-1.41727,9.11651
4.61099,-1.53219,-1.41727,9.34634
4.62198,-1.49388,-1.18745,9.30804
4.633,-1.18745,-1.26405,9.30804
4.64398,-1.30236,-1.14914,9.69109
4.65298,-1.07253,-1.34066,9.57617
4.664,-0.881008,-1.30236,9.15482
4.67499,-1.14914,-1.07253,9.65278
4.686,-1.07253,-0.881008,9.88261
4.69501,-1.22575,-0.995922,9.42295
4.70599,-1.18745,-1.22575,9.49956
4.71698,-1.26405,-1.18745,9.806
4.728,-1.07253,-0.957617,9.76769
4.737,-1.11084,-0.957617,9.76769
4.80798,-0.919312,-0.727789,9.806
4.81799,-1.03423,-0.727789,9.76769
4.82999,-0.881008,-0.65118,9.806
4.841,-0.689484,-0.536266,9.38465
4.85199,-0.881008,-0.689484,9.57617
4.862,-1.07253,-0.689484,9.57617
4.87299,-0.995922,-0.612875,9.8443
4.883,-0.881008,-0.459656,9.72939
4.89398,-0.689484,-0.536266,9.72939
4.90399,-0.689484,-0.497961,9.8443
4.91498,-0.57457,-0.421352,9.806
4.92499,-0.919312,-0.57457,9.65278
4.936,-0.383047,-0.57457,9.76769
4.94598,-0.689484,-0.114914,9.8443
4.957,-1.53219,-0.612875,10.8019
5.02399,-0.57457,-0.344742,9.88261
5.035,-0.421352,-0.229828,9.88261
5.04498,-0.65118,-0.268133,9.806
5.06,-0.421352,-0.114914,9.99752
5.07001,-0.383047,-0.114914,10.0741
5.082,-0.191523,-0.0766094,10.2657
5.09299,-0.0383047,-0.0383047,10.2657
5.104,-0.191523,-0.153219,10.0741
5.11398,-0.153219,-0.0383047,9.69109
5.125,-0.114914,-0.0383047,9.8443
5.13599,-0.0383047,-0.114914,9.76769
5.14499,-0.153219,-0.0766094,9.76769
5.15601,-0.114914,-0.0383047,9.76769
5.16699,-0.114914,-0.114914,9.88261
5.23199,0.0766094,-0.0383047,11.9894
5.242,0.383047,0.0,12.6022
5.25299,-0.421352,-0.459656,9.99752
5.26401,-0.57457,-0.114914,10.8019
5.27399,-0.881008,-0.229828,11.3765
5.284,-1.53219,0.0383047,10.687
5.29498,-1.53219,-0.689484,10.0358
5.311,-1.07253,-1.34066,9.57617
5.32001,-0.153219,-0.344742,10.2273
5.33099,0.153219,-0.0766094,10.8019
5.34299,-0.497961,-0.919312,8.88668
5.354,-0.995922,-0.57457,7.85246
5.36398,-1.14914,-0.842703,8.84838
5.37399,-1.30236,-1.14914,9.69109
5.38498,-1.45558,-1.41727,9.42295
5.452,-2.41319,-1.53219,8.69516
5.46298,-2.29828,-1.49388,8.81008
5.47299,-1.87693,-1.72371,9.46126
5.483,-1.6088,-1.6471,9.65278
5.49399,-1.49388,-1.41727,9.34634
5.505,-1.49388,-1.26405,8.84838
5.51599,-1.57049,-1.22575,9.0016
5.52499,-1.57049,-1.18745,9.88261
5.53598,-1.34066,-1.41727,10.7253
5.547,-1.41727,-1.57049,10.189
5.56198,-1.11084,-1.6088,9.53786
5.57199,-1.6088,-1.14914,9.72939
5.58298,-1.37897,-1.26405,9.49956
5.59399,-1.6088,-1.34066,9.53786
5.60498,-1.49388,-1.34066,9.07821
5.616,-1.30236,-1.07253,9.34634
5.68201,-1.22575,-0.881008,9.57617
5.69199,-1.14914,-0.957617,9.65278
5.703,-1.07253,-1.07253,9.72939
5.71399,-1.22575,-0.995922,9.92091
5.724,-1.18745,-0.919312,9.806
5.73398,-0.804398,-0.804398,9.8443
5.745,-1.11084,-0.842703,9.88261
5.75598,-0.919312,-0.842703,9.76769
5.767,-0.881008,-0.65118,9.92091
5.776,-1.11084,-0.612875,9.8443
5.78699,-0.881008,-0.727789,9.69109
5.798,-0.957617,-0.766094,9.69109
5.81198,-0.804398,-0.689484,9.53786
5.823,-0.919312,-0.57457,9.65278
5.83398,-0.919312,-0.689484,10.2273
5.90198,-1.22575,-0.459656,9.76769
5.91299,-0.842703,-0.229828,9.65278
5.92398,-0.689484,-0.306437,9.806
5.935,-0.766094,-0.306437,9.88261
5.94501,-0.766094,-0.421352,9.88261
5.95599,-0.65118,-0.306437,9.95922
5.966,-0.497961,-0.344742,9.88261
5.97699,-0.804398,-0.229828,9.8443
5.987,-0.344742,-0.229828,9.69109
5.99799,-0.344742,-0.191523,9.806
6.009,-0.459656,-0.114914,9.806
6.01898,0.0,-0.229828,10.687
6.02899,-0.229828,-0.229828,10.4189
6.03998,-0.0766094,-0.0766094,9.88261
6.05099,-0.0766094,-0.0766094,9.76769
6.116,-0.153219,-0.0766094,9.72939
6.13199,0.0,-0.0383047,9.76769
6.142,-0.191523,0.0383047,9.69109
6.15298,0.0383047,-0.0766094,9.76769
6.164,-0.0383047,-0.0766094,9.72939
6.17499,-0.153219,-0.0766094,9.8443
6.186,0.0,-0.0383047,9.72939
6.19598,-0.191523,0.0766094,9.61448
6.20599,-0.114914,-0.153219,9.88261
6.21698,0.0766094,0.0,9.53786
6.228,-0.153219,-0.153219,9.72939
6.23801,-0.0383047,-0.114914,9.61448
6.24899,0.0,-0.0383047,9.72939
6.259,-0.0383047,0.0,9.76769
6.26999,-0.114914,0.0,9.69109
6.39499,-1.14914,-0.459656,10.1124
6.405,-1.45558,-1.14914,9.92091
6.41599,-0.153219,-1.45558,9.61448
6.427,-0.191523,-0.153219,10.3423
6.44098,0.0,-0.65118,9.8443
6.452,-1.07253,-0.957617,8.1589
6.46298,-1.57049,-0.65118,8.46534
6.474,-1.49388,-1.37897,9.57617
6.48398,-1.11084,-1.49388,9.61448
6.495,-1.14914,-1.37897,8.96329
6.50598,-1.6471,-1.07253,8.1589
6.517,-1.95354,-1.30236,7.85246
6.52698,-1.99184,-1.6471,7.81416
6.53699,-2.22167,-1.83862,8.50364
6.548,-2.25998,-1.80032,8.69516
6.55899,-2.33659,-1.68541,8.23551
6.625,-1.91523,-1.41727,8.73347
6.63498,-2.25998,-1.68541,9.42295
6.64499,-1.95354,-1.68541,10.1507
6.65601,-1.41727,-1.57049,10.2657
6.66699,-1.53219,-1.41727,9.88261
6.677,-1.87693,-1.22575,9.07821
6.68698,-1.80032,-1.49388,8.88668
6.702,-2.10676,-1.72371,9.26973
6.71298,-1.99184,-1.6088,9.30804
6.724,-1.76202,-1.6471,9.49956
6.73499,-1.6471,-1.45558,9.72939
6.746,-1.57049,-1.37897,9.88261
6.75598,-1.45558,-1.37897,9.72939
6.767,-1.68541,-1.41727,9.46126
6.77698,-1.72371,-1.45558,9.46126
6.845,-0.995922,-1.49388,9.34634
6.85498,-1.6088,-1.18745,9.61448
6.86499,-1.83862,-1.14914,9.34634
6.87601,-1.68541,-1.30236,9.49956
6.88699,-1.76202,-1.45558,9.72939
6.897,-1.49388,-1.34066,9.57617
6.90799,-1.37897,-1.14914,9.72939
6.918,-1.30236,-0.995922,9.57617
6.92899,-1.11084,-0.995922,9.53786
6.939,-1.14914,-1.14914,9.49956
6.95398,-1.30236,-1.11084,9.61448
6.965,-1.34066,-1.18745,9.69109
6.97598,-1.41727,-0.995922,9.76769
6.987,-1.11084,-0.727789,9.49956
6.99698,-1.18745,-0.957617,9.8443
7.06299,-1.22575,-0.727789,9.72939
7.07401,-1.07253,-0.65118,9.69109
7.08499,-1.03423,-0.689484,9.806
7.09598,-1.07253,-0.689484,9.57617
7.10498,-0.766094,-0.57457,9.65278
7.116,-1.03423,-0.383047,9.806
7.12698,-0.957617,-0.881008,9.69109
7.138,-1.37897,-0.612875,10.1507
7.14798,-1.22575,-0.459656,9.8443
